ID|name|赛季|球队|场次|首发|时间|投篮|命中率|三分|命中率|罚球|命中率|篮板|助攻|抢断|盖帽|失误|犯规|得分
10001|托尼-帕克(Tony Parker)|2001|马刺|77|72|29.4|3.5-8.3|41.9%|0.8-2.5|32.3%|1.4-2.1|67.5%|2.6|4.3|1.16|0.09|1.96|2.16|9.2
10001|托尼-帕克(Tony Parker)|2002|马刺|82|82|33.8|5.9-12.7|46.4%|1.0-3.0|33.7%|2.7-3.5|75.5%|2.6|5.3|0.87|0.05|2.41|2.12|15.5
10001|托尼-帕克(Tony Parker)|2003|马刺|75|75|34.4|5.6-12.6|44.7%|0.8-2.7|31.2%|2.5-3.6|70.2%|3.2|5.5|0.81|0.09|2.39|1.97|14.7
10001|托尼-帕克(Tony Parker)|2004|马刺|80|80|34.2|6.7-14.0|48.2%|0.5-1.9|27.6%|2.6-4.0|65.0%|3.7|6.1|1.23|0.05|2.69|2.09|16.6
10001|托尼-帕克(Tony Parker)|2005|马刺|80|80|33.9|7.8-14.2|54.8%|0.1-0.5|30.6%|3.2-4.5|70.7%|3.3|5.8|1.04|0.05|3.11|2.01|18.9
10001|托尼-帕克(Tony Parker)|2006|马刺|77|77|32.5|7.4-14.2|52.0%|0.2-0.5|39.5%|3.6-4.5|78.3%|3.2|5.5|1.06|0.08|2.48|1.78|18.6
10001|托尼-帕克(Tony Parker)|2007|马刺|69|68|33.5|7.5-15.1|49.4%|0.2-1.0|25.8%|3.6-5.0|71.5%|3.2|6.0|0.80|0.12|2.38|1.35|18.8
10001|托尼-帕克(Tony Parker)|2008|马刺|72|71|34.1|8.9-17.5|50.6%|0.3-0.9|29.2%|3.9-5.0|78.2%|3.1|6.9|0.93|0.06|2.58|1.53|22.0
10001|托尼-帕克(Tony Parker)|2009|马刺|56|50|30.9|6.2-12.8|48.7%|0.2-0.6|29.4%|3.3-4.4|75.6%|2.4|5.7|0.52|0.14|2.66|1.71|16.0
10001|托尼-帕克(Tony Parker)|2010|马刺|78|78|32.4|7.1-13.7|51.9%|0.3-0.9|35.7%|3.0-3.9|76.9%|3.1|6.6|1.15|0.04|2.56|1.73|17.5
10001|托尼-帕克(Tony Parker)|2011|马刺|60|60|32.0|7.1-14.8|48.0%|0.2-1.0|23.0%|3.8-4.7|79.9%|2.9|7.7|0.95|0.08|2.55|1.25|18.2
10001|托尼-帕克(Tony Parker)|2012|马刺|66|66|32.9|7.9-15.1|52.2%|0.4-1.0|35.3%|4.2-5.0|84.5%|3.0|7.6|0.82|0.09|2.58|1.39|20.3
10001|托尼-帕克(Tony Parker)|2013|马刺|68|68|29.4|6.7-13.4|49.9%|0.4-1.0|37.3%|2.9-3.6|81.1%|2.3|5.7|0.53|0.13|2.22|1.26|16.7
10002|蒂姆-邓肯(Tim Duncan)|1997|马刺|82|82|39.1|8.6-15.7|54.9%|0.0-0.1|0.0%|3.9-5.9|66.2%|11.9|2.7|0.67|2.51|3.40|3.10|21.1
