ID|name|个人网址|个人头像|身高|位置|体重|生日|球队|学校|选秀|出生地|本赛季薪金|合同|常规赛参加情况|季后赛参加情况
10001|托尼-帕克（Tony Parker）|http://g.hupu.com/nba/players/tonyparker-700.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/700.jpg|1.88米/6尺2|PG（9号）|84公斤/185磅|1982-05-17|圣安东尼奥马刺||2001年第1轮第28顺位|比利时|1250万美元|4年5000万，2010/10/31签，2011夏生效，2015夏到期|13|13
10002|蒂姆-邓肯（Tim Duncan）|http://g.hupu.com/nba/players/timduncan-693.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/693.jpg|2.11米/6尺11|F/C（21号）|113公斤/250磅|1976-04-25|圣安东尼奥马刺|维克森林大学|1997年第1轮第1顺位|美属维京群岛|1036万美元|3年3000万，2012/7/12签，2015夏到期★拥有不可交易条款|17|16
10003|蒂亚戈-斯普利特（Tiago Splitter）|http://g.hupu.com/nba/players/tiagosplitter-1217.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/1217.jpg|2.11米/6尺11|C（22号）|111公斤/245磅|1985-01-01|圣安东尼奥马刺||2007年第1轮第28顺位|巴西|925万美元|4年3600万，2013/7/13签，2017夏到期|4|4
10004|伯瑞斯-迪奥（Boris Diaw）|http://g.hupu.com/nba/players/borisdiaw-312.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/312.jpg|2.03米/6尺8|F/C（33号）|113公斤/250磅|1982-04-16|圣安东尼奥马刺||2003年第1轮第21顺位|法国|800万美元|4年2800万，2014/7/16签，2018夏到期★部分保障合同|15|7
10005|马努-吉诺比利（Manu Ginobili）|http://g.hupu.com/nba/players/manuginobili-694.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/694.jpg|1.98米/6尺6|G/F（20号）|93公斤/205磅|1977-07-28|圣安东尼奥马刺||1999年第2轮第28顺位|阿根廷|700万美元|2年1400万美元，2013/7/11签，2015夏到期|12|11
10006|丹尼-格林（Danny Green）|http://g.hupu.com/nba/players/dannygreen-3356.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3356.jpg|1.98米/6尺6|G/F（14号）|95公斤/210磅|1987-06-22|圣安东尼奥马刺|北卡罗莱纳大学|2009年第2轮第16顺位|美国|402万美元|3年1128万，2012/7/12签，2015夏到期|5|4
10007|帕蒂-米尔斯（Patty Mills）|http://g.hupu.com/nba/players/pattymills-3353.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3353.jpg|1.83米/6尺0|PG（8号）|82公斤/180磅|1988-08-11|圣安东尼奥马刺|加拿大圣玛丽大学|2009年第2轮第25顺位|澳大利亚|384万美元|3年1100万，2014/7/11签，2017夏到期|5|5
10008|科怀-伦纳德（Kawhi Leonard）|http://g.hupu.com/nba/players/kawhileonard-3568.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3568.jpg|2.01米/6尺7|G/F（2号）|104公斤/230磅|1991-06-29|圣安东尼奥马刺|圣地亚哥州立大学|2011年第1轮第15顺位|美国|289万美元|4年864万美元，2011/12/13签，2015夏到期|3|3
10009|马科-贝里内利（Marco Belinelli）|http://g.hupu.com/nba/players/marcobelinelli-1347.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/1347_326.jpg|1.96米/6尺5|G/F（3号）|98公斤/215磅|1986-03-25|圣安东尼奥马刺||2007年第1轮第18顺位|意大利|287万美元|2年562万，2013/7/11签，2015夏到期|7|3
10010|科里-约瑟夫（Cory Joseph）|http://g.hupu.com/nba/players/coryjoseph-3582.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3582.jpg|1.91米/6尺3|PG（5号）|84公斤/185磅|1991-08-20|圣安东尼奥马刺|德克萨斯大学|2011年第1轮第29顺位|加拿大|202万美元|4年545万美元，2011/12/17签，2015夏到期|3|2
