ID|name|赛季|球队|场次|首发|时间|投篮|命中率|三分|命中率|罚球|命中率|篮板|助攻|抢断|盖帽|失误|犯规|得分
10001|托尼-帕克(Tony Parker)|2001|马刺|10|10|34.1|6.2-13.6|45.6%|1.0-2.7|37.0%|2.1-2.8|75.0%|2.9|4.0|0.90|0.10|2.20|2.20|15.5
10001|托尼-帕克(Tony Parker)|2002|马刺|24|24|33.9|5.6-14.0|40.3%|0.6-2.3|26.8%|2.8-3.9|71.3%|2.8|3.5|0.92|0.12|1.96|2.12|14.7
10001|托尼-帕克(Tony Parker)|2003|马刺|10|10|38.6|7.2-16.8|42.9%|1.7-4.3|39.5%|2.3-3.5|65.7%|2.1|7.0|1.30|0.10|3.10|1.50|18.4
10001|托尼-帕克(Tony Parker)|2004|马刺|23|23|37.3|7.2-15.9|45.4%|0.4-2.1|18.8%|2.4-3.8|63.2%|2.9|4.3|0.74|0.09|3.09|3.00|17.2
10001|托尼-帕克(Tony Parker)|2005|马刺|13|13|36.5|8.0-17.4|46.0%|0.2-0.7|22.2%|4.9-6.1|81.0%|3.6|3.8|1.00|0.08|3.08|2.38|21.1
10001|托尼-帕克(Tony Parker)|2006|马刺|20|20|37.5|8.4-17.5|48.0%|0.3-1.1|33.3%|3.6-5.3|67.9%|3.4|5.8|1.10|0.00|3.30|1.70|20.8
10001|托尼-帕克(Tony Parker)|2007|马刺|17|17|38.5|8.9-18.0|49.7%|0.4-1.2|35.0%|4.1-5.5|75.3%|3.7|6.1|0.94|0.06|2.94|2.18|22.4
10001|托尼-帕克(Tony Parker)|2008|马刺|5|5|36.2|11.8-21.6|54.6%|0.6-2.8|21.4%|4.4-6.2|71.0%|4.2|6.8|1.20|0.20|4.20|2.60|28.6
10001|托尼-帕克(Tony Parker)|2009|马刺|10|2|33.5|7.3-15.4|47.4%|0.2-0.3|66.7%|2.5-4.2|59.5%|3.8|5.4|0.60|0.00|2.20|2.00|17.3
10001|托尼-帕克(Tony Parker)|2010|马刺|6|6|36.8|7.2-15.5|46.2%|0.2-1.3|12.5%|5.2-6.8|75.6%|2.7|5.2|1.33|0.33|3.33|1.67|19.7
